computer,datetime,exp,cbal,participant,trial,trial_type,img,trial_duration,audio_path,audio_file,word,error,word_onset,word_duration
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,7,intf,prim34.jpg,0.855169529,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_007.wav,wc32v.3_11_007.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,8,trgt,trgt34.jpg,0.985024476,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_008.wav,wc32v.3_11_008.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,9,fill,fimg27.jpg,0.855059433,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_009.wav,wc32v.3_11_009.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,10,ctrl,ctrl23.jpg,0.855711922,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_010.wav,wc32v.3_11_010.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,11,trgt,trgt23.jpg,1.244086547,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_011.wav,wc32v.3_11_011.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,12,fill,ftxt06.jpg,0.985657061,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_012.wav,wc32v.3_11_012.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,13,fill,ftxt30.jpg,0.856656756,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_013.wav,wc32v.3_11_013.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,14,fill,ftxt11.jpg,0.85453259,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_014.wav,wc32v.3_11_014.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,15,intf,prim35.jpg,0.854528547,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_015.wav,wc32v.3_11_015.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,16,trgt,trgt35.jpg,0.856095081,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_016.wav,wc32v.3_11_016.wav,,,,
